Preprocessing,Features,Classifier,Macro F1,Accuracy
pp_minimal,BoW,LogReg,0.7201 ± 0.0112,0.7920
pp_minimal,BoW,SVM,0.7079 ± 0.0099,0.7920
pp_minimal,BoW,XGBoost,0.6906 ± 0.0133,0.7978
pp_minimal,BoW,RandomForest,0.6642 ± 0.0124,0.7894
pp_minimal,TF-IDF,LogReg,0.7361 ± 0.0064,0.8098
pp_minimal,TF-IDF,SVM,0.7402 ± 0.0132,0.8214
pp_minimal,TF-IDF,XGBoost,0.6698 ± 0.0111,0.7878
pp_minimal,TF-IDF,RandomForest,0.6537 ± 0.0145,0.7810
pp_minimal,W2V-mean,LogReg,0.5999 ± 0.0132,0.6862
pp_minimal,W2V-mean,SVM,0.6032 ± 0.0115,0.7402
pp_minimal,W2V-mean,XGBoost,0.6504 ± 0.0063,0.7873
pp_minimal,W2V-mean,RandomForest,0.5947 ± 0.0109,0.7658
pp_minimal,W2V-tfidf,LogReg,0.5949 ± 0.0134,0.6721
pp_minimal,W2V-tfidf,SVM,0.6103 ± 0.0151,0.7224
pp_minimal,W2V-tfidf,XGBoost,0.6577 ± 0.0159,0.7837
pp_minimal,W2V-tfidf,RandomForest,0.6106 ± 0.0108,0.7632
pp_minimal,DistilBERT,LogReg,0.7020 ± 0.0085,0.7517
pp_minimal,DistilBERT,SVM,0.7050 ± 0.0079,0.7784
pp_minimal,DistilBERT,XGBoost,0.6738 ± 0.0116,0.7894
pp_minimal,DistilBERT,RandomForest,0.5167 ± 0.0067,0.7203
pp_minimal,GloVe-mean,LogReg,0.5986 ± 0.0166,0.6799
pp_minimal,GloVe-mean,SVM,0.6170 ± 0.0142,0.7391
pp_minimal,GloVe-mean,XGBoost,0.6362 ± 0.0092,0.7695
pp_minimal,GloVe-mean,RandomForest,0.4936 ± 0.0043,0.7229
pp_minimal,FinBERT,LogReg,0.7364 ± 0.0072,0.7768
pp_minimal,FinBERT,SVM,0.7509 ± 0.0095,0.8051
pp_minimal,FinBERT,XGBoost,0.7788 ± 0.0031,0.8355
pp_minimal,FinBERT,RandomForest,0.7342 ± 0.0024,0.8125
pp_minimal,Twitter-RoBERTa,LogReg,0.7547 ± 0.0107,0.7941
pp_minimal,Twitter-RoBERTa,SVM,0.7643 ± 0.0082,0.8156
pp_minimal,Twitter-RoBERTa,XGBoost,0.7939 ± 0.0061,0.8413
pp_minimal,Twitter-RoBERTa,RandomForest,0.7425 ± 0.0080,0.8146
